                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.83689,                0.49671,                 0.8926,                0.97456,                0.98084,                0.98614,                0.79917,                0.78739,                0.43334,                0.88026,             0.00019798,             0.00019798,             0.00019798
                     70,                0.85162,                0.50153,                0.90096,                 0.9816,                0.98042,                0.98594,                0.79362,                0.78752,                 0.4365,                0.88007,             0.00019216,             0.00019216,             0.00019216
                     71,                0.83219,                0.49486,                0.88377,                0.98376,                0.98448,                 0.9868,                0.79242,                0.79263,                0.44021,                0.88057,             0.00018634,             0.00018634,             0.00018634
                     72,                0.82084,                0.48752,                0.88077,                0.98543,                0.98288,                0.98868,                0.79198,                0.79278,                0.44399,                0.88179,             0.00018052,             0.00018052,             0.00018052
                     73,                0.82323,                0.48833,                0.89147,                0.97479,                0.97079,                0.98739,                0.79586,                0.78905,                0.43593,                 0.8803,             0.00017469,             0.00017469,             0.00017469
                     74,                0.81163,                 0.4857,                0.87776,                0.98174,                 0.9856,                0.98872,                0.78601,                0.81972,                0.43759,                0.88726,             0.00016887,             0.00016887,             0.00016887
                     75,                0.80045,                0.48153,                0.88284,                0.98183,                0.98384,                0.98693,                0.79146,                0.79491,                0.43294,                0.88286,             0.00016305,             0.00016305,             0.00016305
                     76,                 0.8074,                0.48461,                0.87939,                0.98351,                0.98388,                0.98634,                0.79475,                0.79271,                0.42527,                0.88363,             0.00015723,             0.00015723,             0.00015723
                     77,                0.79284,                0.47442,                0.87836,                0.98082,                0.97507,                0.98575,                0.79514,                0.80248,                 0.4305,                0.88401,             0.00015141,             0.00015141,             0.00015141
                     78,                0.80162,                0.48148,                 0.8817,                0.97637,                0.98188,                0.98531,                0.78939,                0.81022,                0.43189,                0.88614,             0.00014559,             0.00014559,             0.00014559
